"","sentences","name","country","page","languages","legible","results"
"492","tourism is an important revenue earner for many african countries. the development of this industry is however complicated by the fact that the facilities which are required are often located in coastal and dry land areas which are already hosts to significant human settlements. in addition, tourism is a delicate industry which requires systematic land use planning and service infrastructure to avoid ecological and other forms of environmental damage, and adverse social and cultural impacts. today many african countries are engaged in the implementation of principles of sustainable tourism including eco tourism, community participation in wildlife management and revenue sharing. these developments have the potential of reducing some of the conflicts arising from contestant over the land between the industry and other social and economic uses. they also require extensive investments for the benefit of local communities if the participation of such communities is to be meaningful and mutually beneficial. ","Guidelines on land policy in africa","8","36","en","Tourism is an important revenue earner for many african countries. The development of this industry is however complicated by the fact that the facilities which are required are often located in coastal and dry-land areas which are already hosts to significant human settlements. In addition, tourism is a delicate industry which requires systematic land use planning and service infrastructure to avoid ecological and other forms of environmental damage, and adverse social and cultural impacts. Today many african countries are engaged in the implementation of principles of sustainable tourism including eco-tourism, community participation in wildlife management and revenue sharing. These developments have the potential of reducing some of the conflicts arising from contestant over the land between the industry and other social and economic uses. They also require extensive investments for the benefit of local communities if the participation of such communities is to be meaningful and mutually beneficial.",0.468994580782625
"2102","3.5.2 protecting forests and associated ecosystems forests and associated ecosystems provide many african households with sustenance. in addition they play a significant role in combating systemic global environmental challenges, such as climate change and loss of biodiversity. in recent times, however, africas forests and associated ecosystems have been subjected to destruction under various types of pressure including civil wars, population growth, commercial harvesting of wood products, agricultural expansion, fuel wood demand, livestock grazing and other competing land uses. nonetheless, since the 199 2 earth summit and following the world summit for sustainable development in 200 2 many african countries have been actively involved in protecting forests and planning for their regeneration through a variety of schemes including soil stabilization, tree plantations and agro forestry.","Guidelines on land policy in africa","8","37","en","3.5.2 protecting forests and associated ecosystems forests and associated ecosystems provide many african households with sustenance. In addition they play a significant role in combating systemic global environmental challenges, such as climate change and loss of biodiversity. In recent times, however, africas forests and associated ecosystems have been subjected to destruction under various types of pressure including civil wars, population growth, commercial harvesting of wood products, agricultural expansion, fuel wood demand, livestock grazing and other competing land uses. Nonetheless, since the 1992 earth summit and following the world summit for sustainable development in 2002 many african countries have been actively involved in protecting forests and planning for their regeneration through a variety of schemes including soil stabilization, tree plantations and agro forestry.",0.413196746351639
"4102","an issue which is closely related to urbanization is that of growing human settlements in coastal zones. in these areas where ecological systems are relatively fragile, rapid urban growth enhances the risks of environmental damage, erosion and pollution. demand for infrastructure combines with tourism to put these ecosystems under pressure leading, in many respects to loss of land by local communities. in some of east africas coastal areas land is being reclaimed and coastal wetlands drained. in the seychelles for example, coastal sand dunes are now being used for construction and land is being reclaimed from the sea with irreparable damage to reefs and wetlands as well as to marine eco systems. there is need for states to undertake land policies which provide strong regulatory frameworks for responding to human settlement needs without causing irreparable damage to africas coastline.","Guidelines on land policy in africa","8","37","en","An issue which is closely related to urbanization is that of growing human settlements in coastal zones. In these areas where ecological systems are relatively fragile, rapid urban growth enhances the risks of environmental damage, erosion and pollution. Demand for infrastructure combines with tourism to put these ecosystems under pressure leading, in many respects to loss of land by local communities. In some of east africas coastal areas land is being reclaimed and coastal wetlands drained. In the seychelles for example, coastal sand dunes are now being used for construction and land is being reclaimed from the sea with irreparable damage to reefs and wetlands as well as to marine eco-systems. There is need for states to undertake land policies which provide strong regulatory frameworks for responding to human settlement needs without causing irreparable damage to africas coastline.",0.3658202049379
"782","although human population densities in grasslands and pastoral ecosystems remain relatively low when compared to the medium and high potential agricultural areas, and urban settlements, these ecosystems typically support a vast amount of livestock and wildlife resources which contribute significantly to the economies of many countries. today, these ecosystems are under threat from several factors, including creeping desertification resulting from global climate change, invasion by agricultural communities and a long tradition of neglect in the national development policies of many countries. as a result the valuable contribution of grasslands and pastoral ecosystems to economies including as reservoirs for wildlife and biodiversity is slowly receding. this is often exacerbated by outmoded stock management and environmental practices. the protection of pastoral ecosystems will require policies that address issues of tenure security, the role of pastoral communities in pastoral management, guarantee equal access to pastoral resources for women, establish processes for the resolution of cross boundary disputes, and improve technologies of resource use.","Guidelines on land policy in africa","8","37","en","Although human population densities in grasslands and pastoral ecosystems remain relatively low when compared to the medium and high potential agricultural areas, and urban settlements, these ecosystems typically support a vast amount of livestock and wildlife resources which contribute significantly to the economies of many countries. Today, these ecosystems are under threat from several factors, including creeping desertification resulting from global climate change, invasion by agricultural communities and a long tradition of neglect in the national development policies of many countries. As a result the valuable contribution of grasslands and pastoral ecosystems to economies including as reservoirs for wildlife and biodiversity is slowly receding. This is often exacerbated by outmoded stock management and environmental practices. The protection of pastoral ecosystems will require policies that address issues of tenure security, the role of pastoral communities in pastoral management, guarantee equal access to pastoral resources for women, establish processes for the resolution of cross-boundary disputes, and improve technologies of resource use.",0.409847391711933
"1172","of wastewater is well below the continents future needs. contributing factors include changes in the global hydro meteorological cycle, rapid deforestation pollution and siltation of fresh water bodies. further deterioration in africas water balance is likely to have adverse effects not only on agricultural land use but also on energy production, urban and industrial development. a comprehensive approach to land policy development must therefore include measures for the protection, development and conservation of these resources. attention will also need to be paid to issues concerning the management of trans border water resources.","Guidelines on land policy in africa","8","38","en","Of wastewater is well below the continents future needs. Contributing factors include changes in the global hydro-meteorological cycle, rapid deforestation pollution and siltation of fresh water bodies. Further deterioration in africas water balance is likely to have adverse effects not only on agricultural land use but also on energy production, urban and industrial development. A comprehensive approach to land policy development must therefore include measures for the protection, development and conservation of these resources. Attention will also need to be paid to issues concerning the management of trans-border water resources.",0.436867452562479
"632","3.6.1 the state of land administration in africa for land to play its primary role in national and regional development in africa, attention will need to be focused, as a matter of urgency on the state of land administration systems. there are two aspects to this issue, namely; the state of land rights delivery and the efficiency and efficacy of the laws, structures and institutions for land governance. both aspects are in dire need of reform. 3.6.2 reform of land rights delivery systems land rights delivery systems comprise those processes that are concerned with ascertainment, demarcation, survey, registration, and documentation of land rights and systematic tracking of land rights transactions. in many african countries, these systems are in various conditions of disuse and mismanagement and are largely paper based and manually operated. further many are generally inaccessible and expensive to the ordinary land using public. these will require not merely redesign but also technological upgrading including the establishment of computerized land information systems lees for faster and more efficient delivery. in addition land delivery systems may also need to be privatized or out sourced so as to liberate the provision of services from complex government bureaucracies.","Guidelines on land policy in africa","8","38","en","3.6.1 the state of land administration in africa for land to play its primary role in national and regional development in africa, attention will need to be focused, as a matter of urgency on the state of land administration systems. There are two aspects to this issue, namely; the state of land rights delivery and the efficiency and efficacy of the laws, structures and institutions for land governance. Both aspects are in dire need of reform. 3.6.2 reform of land rights delivery systems land rights delivery systems comprise those processes that are concerned with ascertainment, demarcation, survey, registration, and documentation of land rights and systematic tracking of land rights transactions. In many african countries, these systems are in various conditions of disuse and mismanagement and are largely paper based and manually operated. Further many are generally inaccessible and expensive to the ordinary land using public. These will require not merely redesign but also technological upgrading including the establishment of computerized land information systems lees for faster and more efficient delivery. In addition land delivery systems may also need to be privatized or out-sourced so as to liberate the provision of services from complex government bureaucracies.",0.418968888331011
"932","an important factor in land administration is to foster good governance of land, natural resources and processes of land use change. land governance refers to the processes by which decisions regarding access to, and use of, land are made, the manner in which those decisions are implemented, and the way in with conflicting interests in land are resolved or reconciled. land governance is thus a techno legal, procedural and political exercise. this is because the process of allocation and enjoyment of land rights cannot be separated from the civil, political and human rights, of the citizenry and are dependent on the political, administrative and professional will to ensure fair treatment and equal opportunities for all. in addition because land governance entails control over land rights it is, in many african countries, a means of accumulating and dispensing political and economic power and privilege through patronage, nepotism and corruption. ","Guidelines on land policy in africa","8","38","en","An important factor in land administration is to foster good governance of land, natural resources and processes of land use change. Land governance refers to the processes by which decisions regarding access to, and use of, land are made, the manner in which those decisions are implemented, and the way in with conflicting interests in land are resolved or reconciled. Land governance is thus a techno-legal, procedural and political exercise. This is because the process of allocation and enjoyment of land rights cannot be separated from the civil, political and human rights, of the citizenry and are dependent on the political, administrative and professional will to ensure fair treatment and equal opportunities for all. In addition because land governance entails control over land rights it is, in many african countries, a means of accumulating and dispensing political and economic power and privilege through patronage, nepotism and corruption.",0.381152201025775
"1182","existing legal and institutional structures governing other aspects of the land system. one unfortunate result of this otherwise laudable response to environmental concerns has been significant fragmentation and duplication of authority and responsibilities in land governance that has led to serious conflict and competition not only across line ministries and institutions but also between central and local government authorities. it is important therefore that if institutions responsible for land governance, including land held by the state, are to operate in a transparent, accountable, and efficient manner, that they be harmonized and their respective mandates rationalized. further, experience has shown that where such institutions are decentralized, thus facilitating the devolution of decision making power and authority to local communities and other stakeholders, land resources are likely to be more productively used and preserved. addressing these issues will require considerable will and commitment from policymakers and practitioners.","Guidelines on land policy in africa","8","39","en","Existing legal and institutional structures governing other aspects of the land system. One unfortunate result of this otherwise laudable response to environmental concerns has been significant fragmentation and duplication of authority and responsibilities in land governance that has led to serious conflict and competition not only across line ministries and institutions but also between central and local government authorities. It is important therefore that if institutions responsible for land governance, including land held by the state, are to operate in a transparent, accountable, and efficient manner, that they be harmonized and their respective mandates rationalized. Further, experience has shown that where such institutions are decentralized, thus facilitating the devolution of decision-making power and authority to local communities and other stakeholders, land resources are likely to be more productively used and preserved. Addressing these issues will require considerable will and commitment from policymakers and practitioners.",0.384924844643536
"4113","there is no doubt that land in africa is a fundamental social and cultural asset as well as a critically important development resource, especially for the poor, in both rural and urban situations. the realization of those values will require effective land policy development which balances the rights and interests of all users, and ensure the inclusion of all members of society especially women, persons with disability and other landless poor, to enable them realize full social, environmental and economic benefits from land, and which in addition enhances political stability and democratic institution building. ","Guidelines on land policy in africa","8","39","en","There is no doubt that land in africa is a fundamental social and cultural asset as well as a critically important development resource, especially for the poor, in both rural and urban situations. The realization of those values will require effective land policy development which balances the rights and interests of all users, and ensure the inclusion of all members of society especially women, persons with disability and other landless poor, to enable them realize full social, environmental and economic benefits from land, and which in addition enhances political stability and democratic institution building.",0.399963168976397
"4122","material in this publication may be freely quoted or reprinted. acknowledgement is requested, together with a copy of the publication. ","Guidelines on land policy in africa","8","4","en","Material in this publication may be freely quoted or reprinted. Acknowledgement is requested, together with a copy of the publication.",0.0162387842006812
"582","edited and designed by the ace publications and conference management section pcms.","Guidelines on land policy in africa","8","4","en","Edited and designed by the ace publications and conference management section pcms.",0.170659045955776
"1192","management of the environment. land policies will contribute to the realization of those development goals and commitments.","Guidelines on land policy in africa","8","42","en","Management of the environment. Land policies will contribute to the realization of those development goals and commitments.",0.270293584731812
"3121","4.1.3 on fundamental aspirations equitable access to land, secure land rights, gender equity, improved governance in the land sector and reduction of land related conflicts, are fundamental aspirations of african people as together they pave the way to secure livelihoods and prosperity. land is also an important resource for the development of other sectors of the economy, in addition to being part of the cultural heritage and social identity of africa peoples. these are aspirations which land policies across the continent must reflect.","Guidelines on land policy in africa","8","42","en","4.1.3 on fundamental aspirations equitable access to land, secure land rights, gender equity, improved governance in the land sector and reduction of land related conflicts, are fundamental aspirations of african people as together they pave the way to secure livelihoods and prosperity. Land is also an important resource for the development of other sectors of the economy, in addition to being part of the cultural heritage and social identity of africa peoples. These are aspirations which land policies across the continent must reflect.",0.387373741588508
"642","in order for the african union to assist member countries in addressing land issues that underpin the sustainable and inclusive development of the continent there is need for all stakeholders and the continents development partners to have a shared vision regarding the need for land policy development as an important process in national development. in articulating that vision, this framework and guidelines seeks to ensure that the potential of land is fully realized in support of the continents development agenda.","Guidelines on land policy in africa","8","42","en","In order for the african union to assist member countries in addressing land issues that underpin the sustainable and inclusive development of the continent there is need for all stakeholders and the continents development partners to have a shared vision regarding the need for land policy development as an important process in national development. In articulating that vision, this framework and guidelines seeks to ensure that the potential of land is fully realized in support of the continents development agenda.",0.363933613086292
"862","the vision deriving from this framework and guidelines is therefore based on the emerging consensus on the need for comprehensive land policy development as identified through the regional consultations documented in chapter two, the development goals undertaken and commitments made by african nations, and the general aspirations of african peoples regarding the centrality of land in economy and society. ","Guidelines on land policy in africa","8","42","en","The vision deriving from this framework and guidelines is therefore based on the emerging consensus on the need for comprehensive land policy development as identified through the regional consultations documented in chapter two, the development goals undertaken and commitments made by african nations, and the general aspirations of african peoples regarding the centrality of land in economy and society.",0.322120585346342
"1120","on that basis, african governments will seek to develop land policies in a manner that is inclusive and responsive to the needs of all land users, contribute to political stability, promote gender equity, foster the reduction of conflict, enhance the sustainable management of natural resources, ensure orderly urban development, and which put all stakeholders on the path to higher economic growth and a better quality of life.","Guidelines on land policy in africa","8","42","en","On that basis, african governments will seek to develop land policies in a manner that is inclusive and responsive to the needs of all land users, contribute to political stability, promote gender equity, foster the reduction of conflict, enhance the sustainable management of natural resources, ensure orderly urban development, and which put all stakeholders on the path to higher economic growth and a better quality of life.",0.44760453020688
"1412","that land policy development has already become a major item in africas economic and political reconstruction agenda is no longer in doubt. central to that exercise is the conviction that past policies, many of which have been ad hoc or sector specific have failed to resolve fundamental problem underlying the sustainable development of the land economy and those of related sectors.","Guidelines on land policy in africa","8","42","en","That land policy development has already become a major item in africas economic and political reconstruction agenda is no longer in doubt. Central to that exercise is the conviction that past policies, many of which have been ad hoc or sector specific have failed to resolve fundamental problem underlying the sustainable development of the land economy and those of related sectors.",0.335812910808519
"4132","include, but is not limited to, algeria, libya, egypt, and tunisia north africa; benin, mali, niger, burka faso, and ghana west africa; rwanda and tanzania east africa; and botswana, malawi, mozambique, namibia, south africa, zambia, and zimbabwe southern africa. many other countries including mauritania north africa; sierra lone and liberia west africa; angola, lesotho, madagascar, and swaziland southern africa; and kenya, southern sudan, and uganda east africa are currently undertaking comprehensive review of their own land policies. although the countries not mentioned here have not undertaken comprehensive or systematic reviews in the past two decades, it is important to note that many of them have indeed been engaged in significant reforms or enacted land laws embodying the overall policy priorities in their various land sectors. throughout africa, therefore, there is no doubting the need to inform land related legislation or institution building with an assessment of policy concerns in that sector. what the vision statement set out above offers is a set of parameters, drawn from emerging best practices, within which the comprehensive and systematic development of new or revision of existing land policies, laws, and institutions ought to occur. 4.4.1 important lessons learnt an assessment of processes in countries that have attempted comprehensive or systematic review of their land sectors suggest that there are a number of challenges that must be overcome before adequate land policies can be developed. these challenges are of a conceptual, technical and operational nature. ","Guidelines on land policy in africa","8","43","en","Include, but is not limited to, algeria, libya, egypt, and tunisia north africa; benin, mali, niger, burka faso, and ghana west africa; rwanda and tanzania east africa; and botswana, malawi, mozambique, namibia, south africa, zambia, and zimbabwe southern africa. Many other countries including mauritania north africa; sierra lone and liberia west africa; angola, lesotho, madagascar, and swaziland southern africa; and kenya, southern sudan, and uganda east africa are currently undertaking comprehensive review of their own land policies. Although the countries not mentioned here have not undertaken comprehensive or systematic reviews in the past two decades, it is important to note that many of them have indeed been engaged in significant reforms or enacted land laws embodying the overall policy priorities in their various land sectors. Throughout africa, therefore, there is no doubting the need to inform land related legislation or institution building with an assessment of policy concerns in that sector. What the vision statement set out above offers is a set of parameters, drawn from emerging best practices, within which the comprehensive and systematic development of new or revision of existing land policies, laws, and institutions ought to occur. 4.4.1 important lessons learnt an assessment of processes in countries that have attempted comprehensive or systematic review of their land sectors suggest that there are a number of challenges that must be overcome before adequate land policies can be developed. These challenges are of a conceptual, technical and operational nature.",0.249060816325611
"592","african countries will need to formulate clear strategies to overcome these challenges before policy development or revision can begin. although such challenges are many, only four important ones are identified here.","Guidelines on land policy in africa","8","43","en","African countries will need to formulate clear strategies to overcome these challenges before policy development or revision can begin. Although such challenges are many, only four important ones are identified here.",0.380490502577447
"792","the first is relatively low levels of stakeholder and civil society involvement. despite evidence of community participation in some countries, the state has generally played the dominant role in driving and shaping land policy formulation. in addition, inputs from stakeholders and civil society to land policy development have all too frequently been ignored or at least not been taken fully into consideration.","Guidelines on land policy in africa","8","43","en","The first is relatively low levels of stakeholder and civil society involvement. Despite evidence of community participation in some countries, the state has generally played the dominant role in driving and shaping land policy formulation. In addition, inputs from stakeholders and civil society to land policy development have all too frequently been ignored or at least not been taken fully into consideration.",0.327355721785686
"942","the second is that land policy development has tended to follow sectoral paths or foci or to be sector driven with little or no co ordination or harmonization with policies regarding other sectors. as a result land policies have failed to provide broader ranging prescriptions for the management of cross cutting issues such as those impinging on the environment and poverty reduction.","Guidelines on land policy in africa","8","43","en","The second is that land policy development has tended to follow sectoral paths or foci or to be sector-driven with little or no co-ordination or harmonization with policies regarding other sectors. As a result land policies have failed to provide broader ranging prescriptions for the management of cross-cutting issues such as those impinging on the environment and poverty reduction.",0.332373967172838
"1201","donor support for policy development, thereby jeopardizing the ownership and sustainability of the entire reform enterprise, especially when donor funds dwindle as a result of donor fatigue or otherwise become unreliable.","Guidelines on land policy in africa","8","44","en","Donor support for policy development, thereby jeopardizing the ownership and sustainability of the entire reform enterprise, especially when donor funds dwindle as a result of donor fatigue or otherwise become unreliable.",0.460953848594732
"3131","4.4.5 inadequate human and institutional capacity the fourth is that many african countries sometimes have no capacity to design and undertake comprehensive policy development. this often means that what counts as national policy is little more than the desk top product of bureaucrats or consultants assigned to produce position papers for land ministries or government departments. such exercises frequently produce documents which do not identify fully the fundamental land questions which policy development should address or make prescriptions which are unacceptable to the broad land using public. ","Guidelines on land policy in africa","8","44","en","4.4.5 inadequate human and institutional capacity the fourth is that many african countries sometimes have no capacity to design and undertake comprehensive policy development. This often means that what counts as national policy is little more than the desk-top product of bureaucrats or consultants assigned to produce position papers for land ministries or government departments. Such exercises frequently produce documents which do not identify fully the fundamental land questions which policy development should address or make prescriptions which are unacceptable to the broad land using public.",0.339882769779543
"952","a major and continual challenge which land policy development on the continent faces is the need to recognize the legitimacy of and improve on the role and operation of indigenous structures, institutions and land rights regimes and to provide a necessary interface between them and state led systems of land management and administrations. in doing so it is imperative that the issue of equal access to and representation on all structures that are responsible for land management and administration are addressed. this is particularly critical since many indigenous land management structures do not allow any or sufficient womens representations. this is all the more necessary in the context of land policies which seek the documentation of land rights, the empowerment of decentralized institutions in the administration of land at the local level and the provision of statutory frameworks for the evolution of informal land rights systems.","Guidelines on land policy in africa","8","44","en","A major and continual challenge which land policy development on the continent faces is the need to recognize the legitimacy of and improve on the role and operation of indigenous structures, institutions and land rights regimes and to provide a necessary interface between them and state-led systems of land management and administrations. In doing so it is imperative that the issue of equal access to and representation on all structures that are responsible for land management and administration are addressed. This is particularly critical since many indigenous land management structures do not allow any or sufficient womens representations. This is all the more necessary in the context of land policies which seek the documentation of land rights, the empowerment of decentralized institutions in the administration of land at the local level and the provision of statutory frameworks for the evolution of informal land rights systems.",0.376094615186891
"1218","enquiry or policy steering committees backed by strong inter disciplinary expert support. in doing this, care must be taken to ensure that all categories of the land using public, especially women, are reached. in this way, dominance of established land sector institutions and other interest groups whose roles and mandates may need to change in the course of land reforms, will be neutralized.","Guidelines on land policy in africa","8","45","en","Enquiry or policy steering committees backed by strong inter-disciplinary expert support. In doing this, care must be taken to ensure that all categories of the land using public, especially women, are reached. In this way, dominance of established land sector institutions and other interest groups whose roles and mandates may need to change in the course of land reforms, will be neutralized.",0.26566700498374
"314","4.5.4 engagement with civil society organizations land policy development should recognize and adequately provide for a deep engagement with civil society organizations csos. these organizations can provide necessary checks and balances on government decision making during the development and implementation of land policies. effective opportunities for feedback and iterative processes with cos and other special interest groups should therefore be built into the consultative process. the deeper the engagement with such groups, the more enriched and the higher the degree of public acceptance and ownership will the policy be. where parliamentary review and approval is required to validate or legitimize the outcomes of the policy development process, it would be ideal if these and other groups are given opportunity to offer additional input at that stage, if only to ensure that their initial contributions have not been glossed over in the final drafts of the policy document.","Guidelines on land policy in africa","8","45","en","4.5.4 engagement with civil society organizations land policy development should recognize and adequately provide for a deep engagement with civil society organizations csos. These organizations can provide necessary checks and balances on government decision-making during the development and implementation of land policies. Effective opportunities for feedback and iterative processes with cos and other special interest groups should therefore be built into the consultative process. The deeper the engagement with such groups, the more enriched and the higher the degree of public acceptance and ownership will the policy be. Where parliamentary review and approval is required to validate or legitimize the outcomes of the policy development process, it would be ideal if these and other groups are given opportunity to offer additional input at that stage, if only to ensure that their initial contributions have not been glossed over in the final drafts of the policy document.",0.314295641446683
"5102","the actual sequencing of activities and events in the trajectory of land policy development has, however, varied across countries. while some countries have initiated the process by first identifying key land related issues and problems through public consultations of various degrees of intensity, others have proceeded through state commissioned researches or position papers. yet others have, through constitutional provisions as well as primary and subsidiary legislation, simply dealt with land related issues and problems without any specific and coherent articulation. in this latter respect, land policy development has followed rather than preceded the promulgation of land legislation. it is important to remember, however, that whatever route is taken, detailed policy development and legislative and institutional reform should take place through a phased and iterative process rather than on a sequential linear model. the major stages in the road map for reform should, nonetheless, be set out with clear milestones to which the key stakeholders subscribe. that roadmap should avoid detailed prescriptions and timetables for institutional reform unless it is quite clear that these are feasible and that associated costs have been budgeted for.","Guidelines on land policy in africa","8","45","en","The actual sequencing of activities and events in the trajectory of land policy development has, however, varied across countries. While some countries have initiated the process by first identifying key land related issues and problems through public consultations of various degrees of intensity, others have proceeded through state commissioned researches or position papers. Yet others have, through constitutional provisions as well as primary and subsidiary legislation, simply dealt with land related issues and problems without any specific and coherent articulation. In this latter respect, land policy development has followed rather than preceded the promulgation of land legislation. It is important to remember, however, that whatever route is taken, detailed policy development and legislative and institutional reform should take place through a phased and iterative process rather than on a sequential linear model. The major stages in the road map for reform should, nonetheless, be set out with clear milestones to which the key stakeholders subscribe. That roadmap should avoid detailed prescriptions and timetables for institutional reform unless it is quite clear that these are feasible and that associated costs have been budgeted for.",0.346000992954355
"7102","taking time to consult effectively and following a flexible calendar are essential to confidence building between government and the people. political leadership and development of key messages for delivery to the public matter in providing assurance about the process to be followed, which will likely take several years. the importance of land rights across and within african countries underscores the need to support development of civil society actors and networks with knowledge of land issues on both national, pan african and global levels.","Guidelines on land policy in africa","8","45","en","Taking time to consult effectively and following a flexible calendar are essential to confidence building between government and the people. Political leadership and development of key messages for delivery to the public matter in providing assurance about the process to be followed, which will likely take several years. The importance of land rights across and within african countries underscores the need to support development of civil society actors and networks with knowledge of land issues on both national, pan-african and global levels.",0.380607067897811
"1222","for land administration so as to achieve decentralized, transparent, efficient and cost effective delivery of land services, in a manner which meets customer requirements and that is financially self sustaining. institutional restructuring does not always mean creating an entirely new institutional arrangement from scratch. sometimes design and implementation could be around existing national, regional and local structures following a credible re engineering process. public or state sector land institutions could be re engineered to address problems such as scattered and restricted access to records, poor internal communication systems, obsolete operating procedures, overlapping, conflicting and unclear mandates, duplication of efforts and responsibilities, and waste of resources.","Guidelines on land policy in africa","8","46","en","For land administration so as to achieve decentralized, transparent, efficient and cost effective delivery of land services, in a manner which meets customer requirements and that is financially self-sustaining. Institutional restructuring does not always mean creating an entirely new institutional arrangement from scratch. Sometimes design and implementation could be around existing national, regional and local structures following a credible re engineering process. Public or state sector land institutions could be re-engineered to address problems such as scattered and restricted access to records, poor internal communication systems, obsolete operating procedures, overlapping, conflicting and unclear mandates, duplication of efforts and responsibilities, and waste of resources.",0.433606201349388
"315","4.5.7 ensuring availability of financial and human resources more often than not, the development of land policies in africa does not take into account full financial and economic cost appraisals hence provide only for inadequate resource commitment and mobilization for reform implementation. in addition, land policies have been designed, promulgated and even launched without any genuine concern for the human resources and other logistical requirements necessary to carry out the wide ranging reforms that are proposed. in some cases existing laws and implementation mechanisms have been swept away by new policies even though no new arrangements had been put in place to manage the transition. similarly transitional arrangements and preparations such as staff capacity building and training, public information and communication, have not always been taken into account in the policy development process. these are important issues which land policy development must address.","Guidelines on land policy in africa","8","46","en","4.5.7 ensuring availability of financial and human resources more often than not, the development of land policies in africa does not take into account full financial and economic cost appraisals hence provide only for inadequate resource commitment and mobilization for reform implementation. In addition, land policies have been designed, promulgated and even launched without any genuine concern for the human resources and other logistical requirements necessary to carry out the wide-ranging reforms that are proposed. In some cases existing laws and implementation mechanisms have been swept away by new policies even though no new arrangements had been put in place to manage the transition. Similarly transitional arrangements and preparations such as staff capacity building and training, public information and communication, have not always been taken into account in the policy development process. These are important issues which land policy development must address.",0.444877385173396
"5113","effective and robust communication through a variety of channels including newspapers, television messages, radio broadcasts and newsletters is critical in the development of land policies. effective communication should be integral and cross cutting hence requires the development of a coherent strategy that takes account of the entire policy development process. communication is particularly crucial when soliciting and collating stakeholder inputs and feedback as well as driving public education and awareness campaigns before and during implementation. information and communication technologies its are today considered the driving force of the global information society and knowledge based economies hence should play a significant role in land policy development. its can benefit land policy development in two main ways. first, its can improve the efficiency and effectiveness of service delivery through computerized systems. secondly, its can help with information delivery and dissemination of policy components and associated legal instruments. appropriately used, this can reduce the digital divide, improve the awareness of rural communities of their rights and enhance their participation in policy development.","Guidelines on land policy in africa","8","46","en","Effective and robust communication through a variety of channels including newspapers, television messages, radio broadcasts and newsletters is critical in the development of land policies. Effective communication should be integral and cross-cutting hence requires the development of a coherent strategy that takes account of the entire policy development process. Communication is particularly crucial when soliciting and collating stakeholder inputs and feedback as well as driving public education and awareness campaigns before and during implementation. Information and communication technologies its are today considered the driving force of the global information society and knowledge-based economies hence should play a significant role in land policy development. Its can benefit land policy development in two main ways. First, its can improve the efficiency and effectiveness of service delivery through computerized systems. Secondly, its can help with information delivery and dissemination of policy components and associated legal instruments. Appropriately used, this can reduce the digital divide, improve the awareness of rural communities of their rights and enhance their participation in policy development.",0.410676387650166
